universidad;comunidad_autonoma;tipo_universidad;modalidad
A Coruńa;Galicia;Pública;Presencial
A Distancia de Madrid;Madrid;Privada;No presencial
Abat Oliba CEU;Cataluńa;Privada;Presencial
Alcalá;Madrid;Pública;Presencial
Alfonso X El Sabio;Madrid;Privada;Presencial
Alicante;Comunidad Valenciana;Pública;Presencial
Almería;Andalucía;Pública;Presencial
Antonio de Nebrija;Madrid;Privada;Presencial
Atlántico Medio;Canarias;Privada;Presencial
Autónoma de Barcelona;Cataluńa;Pública;Presencial
Autónoma de Madrid;Madrid;Pública;Presencial
Barcelona;Cataluńa;Pública;Presencial
Burgos;Castilla y León;Pública;Presencial
Cádiz;Andalucía;Pública;Presencial
Camilo José Cela;Madrid;Privada;Presencial
Cantabria;Cantabria;Pública;Presencial
Cardenal Herrera-CEU;Comunidad Valenciana;Privada;Presencial
Carlos III de Madrid;Madrid;Pública;Presencial
Castilla-La Mancha;Castilla-La Mancha;Pública;Presencial
Católica de Valencia San Vicente Mártir;Comunidad Valenciana;Privada;Presencial
Católica San Antonio;Región de Murcia;Privada;Presencial
Católica Santa Teresa de Jesús de Ávila;Castilla y León;Privada;Presencial
CEU Fernando III;Andalucía;Privada;Presencial
Complutense de Madrid;Madrid;Pública;Presencial
Córdoba;Andalucía;Pública;Presencial
CUNEF Universidad;Madrid;Privada;Presencial
Deusto;País Vasco;Privada;Presencial
Diseńo, Innovación y Tecnología (UDIT);Madrid;Privada;Presencial
ESIC Universidad;Madrid;Privada;Presencial
Euneiz;País Vasco;Privada;Presencial
Europea de Canarias;Canarias;Privada;Presencial
Europea de Madrid;Madrid;Privada;Presencial
Europea de Valencia;Comunidad Valenciana;Privada;Presencial
Europea del Atlántico;Cantabria;Privada;Presencial
Europea Miguel de Cervantes;Castilla y León;Privada;Presencial
Extremadura;Extremadura;Pública;Presencial
Fernando Pessoa-Canarias (UFP-C);Canarias;Privada;Presencial
Francisco de Vitoria;Madrid;Privada;Presencial
Girona;Cataluńa;Pública;Presencial
Granada;Andalucía;Pública;Presencial
Hespérides;Canarias;Privada;No presencial
Huelva;Andalucía;Pública;Presencial
IE Universidad;Castilla y León;Privada;Presencial
Illes Balears (Les);Islas Baleares;Pública;Presencial
Intercontinental de la Empresa;Galicia;Privada;Presencial
Internacional de Catalunya;Cataluńa;Privada;Presencial
Internacional de la Empresa;Madrid;Privada;Presencial
Internacional de La Rioja;La Rioja;Privada;No presencial
Internacional Isabel I de Castilla;Castilla y León;Privada;No presencial
Internacional Valenciana;Comunidad Valenciana;Privada;No presencial
Internacional Villanueva;Madrid;Privada;Presencial
Jaén;Andalucía;Pública;Presencial
Jaume I de Castellón;Comunidad Valenciana;Pública;Presencial
La Laguna;Canarias;Pública;Presencial
La Rioja;La Rioja;Pública;Presencial
Las Palmas de Gran Canaria;Canarias;Pública;Presencial
León;Castilla y León;Pública;Presencial
Lleida;Cataluńa;Pública;Presencial
Loyola Andalucía;Andalucía;Privada;Presencial
Málaga;Andalucía;Pública;Presencial
Miguel Hernández de Elche;Comunidad Valenciana;Pública;Presencial
Mondragón Unibertsitatea;País Vasco;Privada;Presencial
Murcia;Región de Murcia;Pública;Presencial
Nacional de Educación a Distancia;Nacional;Pública;No presencial
Navarra;Comunidad Foral de Navarra;Privada;Presencial
Oberta de Catalunya;Cataluńa;Pública;No presencial
Oviedo;Asturias;Pública;Presencial
Pablo de Olavide;Andalucía;Pública;Presencial
País Vasco/Euskal Herriko Unibertsitatea;País Vasco;Pública;Presencial
Politécnica de Cartagena;Región de Murcia;Pública;Presencial
Politécnica de Catalunya;Cataluńa;Pública;Presencial
Politécnica de Madrid;Madrid;Pública;Presencial
Politčcnica de Valčncia;Comunidad Valenciana;Pública;Presencial
Pompeu Fabra;Cataluńa;Pública;Presencial
Pontificia Comillas;Madrid;Privada;Presencial
Pontificia de Salamanca;Castilla y León;Privada;Presencial
Pública de Navarra;Comunidad Foral de Navarra;Pública;Presencial
Ramón Llull;Cataluńa;Privada;Presencial
Rey Juan Carlos;Madrid;Pública;Presencial
Rovira i Virgili;Cataluńa;Pública;Presencial
Salamanca;Castilla y León;Pública;Presencial
San Jorge;Aragón;Privada;Presencial
San Pablo-CEU;Madrid;Privada;Presencial
Santiago de Compostela;Galicia;Pública;Presencial
Sevilla;Andalucía;Pública;Presencial
Valčncia (Estudi General);Comunidad Valenciana;Pública;Presencial
Valladolid;Castilla y León;Pública;Presencial
Vic-Central de Catalunya;Cataluńa;Privada;Presencial
Vigo;Galicia;Pública;Presencial
Zaragoza;Aragón;Pública;Presencial
