universidad;comunidad_autonoma;tipo_universidad;modalidad;provincia;;;
A Coruńa;Galicia;Pública;Presencial;A Coruńa;;;
A Distancia de Madrid;Madrid;Privada;No presencial;Madrid;;;
Abat Oliba CEU;Cataluńa;Privada;Presencial;Barcelona;;;
Alcalá;Madrid;Pública;Presencial;Madrid;;;
Alfonso X El Sabio;Madrid;Privada;Presencial;Madrid;;;
Alicante;Comunidad Valenciana;Pública;Presencial;Alicante;;;
Almería;Andalucía;Pública;Presencial;Almería;;;
Antonio de Nebrija;Madrid;Privada;Presencial;Madrid;;;
Atlántico Medio;Canarias;Privada;Presencial;Las Palmas;;;
Autónoma de Barcelona;Cataluńa;Pública;Presencial;Barcelona;;;
Autónoma de Madrid;Madrid;Pública;Presencial;Madrid;;;
Barcelona;Cataluńa;Pública;Presencial;Barcelona;;;
Burgos;Castilla y León;Pública;Presencial;Burgos;;;
Cádiz;Andalucía;Pública;Presencial;Cádiz;;;
Camilo José Cela;Madrid;Privada;Presencial;Madrid;;;
Cantabria;Cantabria;Pública;Presencial;Cantabria;;;
Cardenal Herrera-CEU;Comunidad Valenciana;Privada;Presencial;Valencia;;;
Carlos III de Madrid;Madrid;Pública;Presencial;Madrid;;;
Castilla-La Mancha;Castilla-La Mancha;Pública;Presencial;Toledo;;;
Católica de Valencia San Vicente Mártir;Comunidad Valenciana;Privada;Presencial;Valencia;;;
Católica San Antonio;Región de Murcia;Privada;Presencial;Murcia;;;
Católica Santa Teresa de Jesús de Ávila;Castilla y León;Privada;Presencial;Ávila;;;
CEU Fernando III;Andalucía;Privada;Presencial;Sevilla;;;
Complutense de Madrid;Madrid;Pública;Presencial;Madrid;;;
Córdoba;Andalucía;Pública;Presencial;Córdoba;;;
CUNEF Universidad;Madrid;Privada;Presencial;Madrid;;;
Deusto;País Vasco;Privada;Presencial;Vizcaya;;;
Diseńo, Innovación y Tecnología (UDIT);Madrid;Privada;Presencial;Madrid;;;
ESIC Universidad;Madrid;Privada;Presencial;Madrid;;;
Euneiz;País Vasco;Privada;Presencial;Álava;;;
Europea de Canarias;Canarias;Privada;Presencial;Santa Cruz de Tenerife;;;
Europea de Madrid;Madrid;Privada;Presencial;Madrid;;;
Europea de Valencia;Comunidad Valenciana;Privada;Presencial;Valencia;;;
Europea del Atlántico;Cantabria;Privada;Presencial;Cantabria;;;
Europea Miguel de Cervantes;Castilla y León;Privada;Presencial;Valladolid;;;
Extremadura;Extremadura;Pública;Presencial;Badajoz;;;
Fernando Pessoa-Canarias (UFP-C);Canarias;Privada;Presencial;Las Palmas;;;
Francisco de Vitoria;Madrid;Privada;Presencial;Madrid;;;
Girona;Cataluńa;Pública;Presencial;Girona;;;
Granada;Andalucía;Pública;Presencial;Granada;;;
Hespérides;Canarias;Privada;No presencial;Las Palmas;;;
Huelva;Andalucía;Pública;Presencial;Huelva;;;
IE Universidad;Castilla y León;Privada;Presencial;Segovia;;;
Illes Balears (Les);Islas Baleares;Pública;Presencial;Islas Baleares;;;
Intercontinental de la Empresa;Galicia;Privada;Presencial;A Coruńa;;;
Internacional de Catalunya;Cataluńa;Privada;Presencial;Barcelona;;;
Internacional de la Empresa;Madrid;Privada;Presencial;Madrid;;;
Internacional de La Rioja;La Rioja;Privada;No presencial;La Rioja;;;
Internacional Isabel I de Castilla;Castilla y León;Privada;No presencial;Burgos;;;
Internacional Valenciana;Comunidad Valenciana;Privada;No presencial;Valencia;;;
Internacional Villanueva;Madrid;Privada;Presencial;Madrid;;;
Jaén;Andalucía;Pública;Presencial;Jaén;;;
Jaume I de Castellón;Comunidad Valenciana;Pública;Presencial;Castellón;;;
La Laguna;Canarias;Pública;Presencial;Santa Cruz de Tenerife;;;
La Rioja;La Rioja;Pública;Presencial;La Rioja;;;
Las Palmas de Gran Canaria;Canarias;Pública;Presencial;Las Palmas;;;
León;Castilla y León;Pública;Presencial;León;;;
Lleida;Cataluńa;Pública;Presencial;Lleida;;;
Loyola Andalucía;Andalucía;Privada;Presencial;Sevilla;;;
Málaga;Andalucía;Pública;Presencial;Málaga;;;
Miguel Hernández de Elche;Comunidad Valenciana;Pública;Presencial;Alicante;;;
Mondragón Unibertsitatea;País Vasco;Privada;Presencial;Guipúzcoa;;;
Murcia;Región de Murcia;Pública;Presencial;Murcia;;;
Nacional de Educación a Distancia;Nacional;Pública;No presencial;Nacional;;;
Navarra;Comunidad Foral de Navarra;Privada;Presencial;Navarra;;;
Oberta de Catalunya;Cataluńa;Pública;No presencial;Barcelona;;;
Oviedo;Asturias;Pública;Presencial;Asturias;;;
Pablo de Olavide;Andalucía;Pública;Presencial;Sevilla;;;
País Vasco/Euskal Herriko Unibertsitatea;País Vasco;Pública;Presencial;Vizcaya;;;
Politécnica de Cartagena;Región de Murcia;Pública;Presencial;Murcia;;;
Politécnica de Catalunya;Cataluńa;Pública;Presencial;Barcelona;;;
Politécnica de Madrid;Madrid;Pública;Presencial;Madrid;;;
Politčcnica de Valčncia;Comunidad Valenciana;Pública;Presencial;Valencia;;;
Pompeu Fabra;Cataluńa;Pública;Presencial;Barcelona;;;
Pontificia Comillas;Madrid;Privada;Presencial;Madrid;;;
Pontificia de Salamanca;Castilla y León;Privada;Presencial;Salamanca;;;
Pública de Navarra;Comunidad Foral de Navarra;Pública;Presencial;Navarra;;;
Ramón Llull;Cataluńa;Privada;Presencial;Barcelona;;;
Rey Juan Carlos;Madrid;Pública;Presencial;Madrid;;;
Rovira i Virgili;Cataluńa;Pública;Presencial;Tarragona;;;
Salamanca;Castilla y León;Pública;Presencial;Salamanca;;;
San Jorge;Aragón;Privada;Presencial;Zaragoza;;;
San Pablo-CEU;Madrid;Privada;Presencial;Madrid;;;
Santiago de Compostela;Galicia;Pública;Presencial;A Coruńa;;;
Sevilla;Andalucía;Pública;Presencial;Sevilla;;;
Valčncia (Estudi General);Comunidad Valenciana;Pública;Presencial;Valencia;;;
Valladolid;Castilla y León;Pública;Presencial;Valladolid;;;
Vic-Central de Catalunya;Cataluńa;Privada;Presencial;Barcelona;;;
Vigo;Galicia;Pública;Presencial;Pontevedra;;;
Zaragoza;Aragón;Pública;Presencial;Zaragoza;;;
